,code,lat,lon,city,name
2576,RKS,41.5988,-109.072,Rock Springs,Rock Springs-Sweetwater County Airport
2577,RKT,25.6111,55.9378,,Ras Al Khaimah International Airport
2578,RKV,64.1311,-21.9389,Reykjavik,Reykjavik Airport
2579,RLG,46.7427,-96.2383,Rostock-laage,Rostock-laage
2580,RMA,-26.5457,148.773,Blythdale,Roma Aerodrome
2581,RMF,25.07,34.9,Marsa Alam,Marsa Alam International
2582,RMI,44.0225,12.618,Rimini,Rimini Airport
2583,RMP,65.5063,-150.169,Rampart,Rampart
2584,RMQ,23.5998,121.024,Taichung,Taiwan
2585,RMT,32.3103,10.3856,Tatawin,Remada Airport
2586,RNA,-19.3,44.8167,Arona,Ulawa Airport
2587,RNB,56.2542,15.2672,Kallinge,Ronneby Airport
2588,RNL,-11.6667,160.3,Rennell,Rennell
2589,RNN,55.0681,14.7472,Ronne,Bornholm Airport
2590,RNO,39.5064,-119.776,Reno,Reno-Tahoe International Airport
2591,RNP,11.15,166.883,Rongelap Island,Rongelap Island
2592,RNS,48.0686,-1.72536,St-Jacques,St Jacques Airport
2593,ROA,37.3203,-79.9688,Roanoke,Roanoke Regional Airport-Woodrum Field
2594,ROB,6.2328,-10.365,Harbelville,Roberts International Airport
2595,ROC,43.1309,-77.6697,Rochester,Greater Rochester International Airport
2596,ROI,16.0142,103.592,Roi Et,Mueang Poi Et
2597,ROK,-23.3768,150.474,Rockhampton,Rockhampton Airport
2598,ROO,-16.4458,-54.6639,Rondonópolis,Rondonopolis Airport
2599,ROP,14.1667,145.25,Rota,Rota International Airport
2600,ROR,7.35743,134.547,Koror,Koror Airport
2601,ROS,-32.9033,-60.7856,Rosario,Rosario Airport
